Locality 0,Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,change 2010-2020,Growth PA
TORQUAY,Torquay," $533,000 "," $565,000 "," $565,000 "," $580,000 "," $580,000 "," $620,000 "," $665,000 "," $720,000 "," $807,500 "," $816,500 "," $870,000 ",63,5
TRAFALGAR,Trafalgar," $248,500 "," $271,500 "," $285,000 "," $283,000 "," $311,000 "," $310,000 "," $312,500 "," $333,500 "," $375,000 "," $396,500 "," $435,000 ",75,5.8
TRARALGON,Traralgon," $257,000 "," $270,000 "," $260,000 "," $269,000 "," $275,000 "," $273,000 "," $268,000 "," $288,500 "," $298,000 "," $326,500 "," $340,000 ",32,2.8
TRARALGON EAST,Traralgon East," $388,000 "," $405,000 "," $402,500 "," $435,000 "," $440,000 "," $432,500 "," $445,000 "," $455,000 "," $425,000 "," $470,000 "," $501,500 ",29,2.6
TRAVANCORE,Travancore," $673,000 "," $672,000 "," $810,000 "," $905,000 "," $848,000 "," $1,100,000 "," $1,305,000 "," $1,415,000 "," $1,475,000 "," $1,125,000 "," $1,617,500 ",140,9.2
TRENTHAM,Trentham," $300,000 "," $287,000 "," $331,500 "," $407,500 "," $340,000 "," $422,500 "," $455,000 "," $475,000 "," $603,000 "," $614,000 "," $620,000 ",107,7.5
TRUGANINA,Truganina," $345,000 "," $357,000 "," $341,500 "," $360,000 "," $390,000 "," $391,000 "," $430,000 "," $519,500 "," $574,000 "," $575,000 "," $580,000 ",68,5.3
TULLAMARINE,Tullamarine," $440,000 "," $420,000 "," $393,500 "," $395,000 "," $412,000 "," $472,500 "," $530,000 "," $655,000 "," $665,500 "," $612,000 "," $628,000 ",43,3.6
TYABB,Tyabb," $347,000 "," $350,500 "," $372,500 "," $370,500 "," $366,000 "," $395,000 "," $430,000 "," $510,500 "," $548,000 "," $586,500 "," $600,000 ",73,5.6
UPPER FERNTREE GULLY,Upper Ferntree Gully," $427,500 "," $400,000 "," $410,000 "," $435,000 "," $500,000 "," $515,000 "," $582,000 "," $685,000 "," $700,000 "," $642,500 "," $735,000 ",72,5.6
UPWEY,Upwey," $415,000 "," $415,000 "," $422,500 "," $425,000 "," $476,000 "," $515,000 "," $585,000 "," $680,000 "," $710,000 "," $702,500 "," $760,500 ",83,6.2
VENTNOR,Ventnor," $380,000 "," $365,000 "," $363,500 "," $370,000 "," $377,500 "," $423,500 "," $420,000 "," $465,000 "," $490,000 "," $540,000 "," $619,500 ",63,5
VENUS BAY,Venus Bay," $239,000 "," $265,500 "," $238,500 "," $242,500 "," $237,000 "," $236,000 "," $258,000 "," $262,500 "," $307,500 "," $330,000 "," $375,000 ",57,4.6
VERMONT,Vermont," $610,000 "," $552,500 "," $571,000 "," $610,000 "," $725,000 "," $855,000 "," $900,000 "," $1,065,000 "," $980,000 "," $937,000 "," $1,000,000 ",64,5.1
VERMONT SOUTH,Vermont South," $694,500 "," $674,000 "," $654,500 "," $722,500 "," $815,000 "," $1,000,000 "," $1,082,500 "," $1,200,500 "," $1,150,000 "," $1,165,000 "," $1,200,000 ",73,5.6
VIEWBANK,Viewbank," $631,500 "," $604,500 "," $589,000 "," $630,000 "," $725,000 "," $829,500 "," $920,000 "," $1,000,000 "," $933,000 "," $920,000 "," $985,000 ",56,4.5
VIOLET TOWN,Violet Town," $172,500 "," $170,000 "," $204,500 "," $215,000 "," $199,500 "," $200,000 "," $238,500 "," $217,000 "," $242,500 "," $287,500 "," $328,500 ",90,6.7
WAHGUNYAH,Wahgunyah," $245,000 "," $190,000 "," $244,000 "," $190,000 "," $213,500 "," $267,000 "," $290,000 "," $270,000 "," $240,000 "," $355,000 "," $309,500 ",26,2.4
WALKERVILLE,Walkerville," $235,000 "," $229,500 "," $280,000 "," $279,000 "," $230,000 "," $247,000 "," $283,500 "," $275,000 "," $266,500 "," $334,500 "," $350,000 ",49,4.1
WALLAN,Wallan," $330,000 "," $350,000 "," $335,000 "," $341,500 "," $356,500 "," $362,000 "," $375,000 "," $425,000 "," $490,000 "," $480,000 "," $512,500 ",55,4.5
WALLAN EAST,Wallan East," $292,500 "," $305,000 "," $317,000 "," $310,000 "," $306,000 "," $309,500 "," $352,500 "," $410,000 "," $489,000 "," $450,000 "," $480,000 ",64,5.1
WANDANA HEIGHTS,Wandana Heights," $540,000 "," $592,500 "," $557,500 "," $540,000 "," $582,000 "," $590,000 "," $592,500 "," $645,000 "," $700,000 "," $766,500 "," $827,000 ",53,4.4
WANDIN NORTH,Wandin North," $411,000 "," $380,500 "," $379,000 "," $407,500 "," $439,500 "," $480,000 "," $496,500 "," $665,000 "," $665,000 "," $630,000 "," $715,000 ",74,5.7
WANGARATTA,Wangaratta," $241,000 "," $240,000 "," $240,000 "," $240,000 "," $255,000 "," $272,000 "," $270,500 "," $270,000 "," $320,000 "," $319,000 "," $350,000 ",45,3.8
WANTIRNA,Wantirna," $545,000 "," $528,000 "," $515,000 "," $576,000 "," $667,500 "," $764,000 "," $801,000 "," $953,000 "," $915,000 "," $860,000 "," $910,500 ",67,5.3
WANTIRNA SOUTH,Wantirna South," $575,000 "," $582,000 "," $542,500 "," $579,000 "," $676,500 "," $829,000 "," $875,000 "," $1,005,000 "," $1,000,000 "," $988,500 "," $1,014,000 ",76,5.8
WARBURTON,Warburton," $300,000 "," $315,000 "," $300,000 "," $310,000 "," $315,000 "," $325,000 "," $366,000 "," $418,000 "," $495,000 "," $512,500 "," $543,000 ",81,6.1
WARNEET,Warneet," $332,500 "," $295,000 "," $284,000 "," $337,000 "," $355,000 "," $395,000 "," $390,000 "," $485,000 "," $534,000 "," $512,500 "," $600,000 ",80,6.1
WARRACKNABEAL,Warracknabeal," $88,000 "," $115,000 "," $105,000 "," $107,500 "," $110,000 "," $110,000 "," $123,500 "," $113,000 "," $112,500 "," $118,000 "," $140,000 ",59,4.8
WARRAGUL,Warragul," $280,000 "," $295,000 "," $300,000 "," $315,000 "," $320,000 "," $342,000 "," $340,000 "," $364,000 "," $448,000 "," $460,000 "," $498,000 ",78,5.9
WARRANDYTE,Warrandyte," $635,000 "," $657,000 "," $620,000 "," $640,000 "," $760,000 "," $829,000 "," $890,000 "," $1,042,500 "," $1,110,000 "," $994,000 "," $992,000 ",56,4.6
WARRANWOOD,Warranwood," $633,500 "," $632,500 "," $654,000 "," $603,000 "," $665,000 "," $790,000 "," $865,000 "," $943,500 "," $1,010,000 "," $935,000 "," $963,500 ",52,4.3
WARRNAMBOOL,Warrnambool," $320,000 "," $320,000 "," $316,500 "," $325,000 "," $323,000 "," $330,000 "," $320,000 "," $330,000 "," $350,000 "," $370,000 "," $415,000 ",30,2.6
WATERWAYS,Waterways," $604,000 "," $688,000 "," $682,000 "," $667,000 "," $845,000 "," $902,000 "," $1,050,000 "," $1,127,500 "," $1,110,000 "," $1,270,000 "," $1,397,500 ",131,8.8
WATSONIA,Watsonia," $505,000 "," $500,000 "," $462,000 "," $505,000 "," $555,000 "," $607,500 "," $698,000 "," $835,000 "," $795,000 "," $736,000 "," $790,000 ",56,4.6
WATSONIA NORTH,Watsonia North," $529,000 "," $470,500 "," $462,000 "," $510,000 "," $572,500 "," $635,000 "," $702,500 "," $790,000 "," $770,000 "," $726,500 "," $795,000 ",50,4.2
WATTLE GLEN,Wattle Glen," $490,000 "," $569,500 "," $527,000 "," $475,000 "," $500,500 "," $569,000 "," $580,000 "," $620,000 "," $810,000 "," $778,500 "," $810,000 ",65,5.2
WAURN PONDS,Waurn Ponds," $435,000 "," $421,000 "," $452,500 "," $446,500 "," $470,000 "," $480,000 "," $501,000 "," $530,000 "," $621,500 "," $641,500 "," $671,000 ",54,4.4
WEDDERBURN,Wedderburn," $140,000 "," $123,000 "," $122,500 "," $154,000 "," $137,500 "," $110,000 "," $150,000 "," $155,000 "," $130,000 "," $138,500 "," $150,000 ",7,0.7
WENDOUREE,Wendouree," $230,000 "," $235,000 "," $236,500 "," $243,000 "," $247,000 "," $250,000 "," $252,500 "," $267,500 "," $326,000 "," $335,000 "," $370,000 ",61,4.9
WENDOUREE WEST,Wendouree West," $186,000 "," $166,000 "," $167,500 "," $200,000 "," $165,000 "," $207,500 "," $185,000 "," $200,000 "," $245,000 "," $259,000 "," $300,000 ",61,4.9
WERRIBEE,Werribee," $308,500 "," $315,000 "," $300,000 "," $309,000 "," $315,000 "," $335,000 "," $403,000 "," $470,000 "," $510,000 "," $505,000 "," $523,000 ",70,5.4
WERRIBEE SOUTH,Werribee South," $399,000 "," $436,000 "," $440,000 "," $538,000 "," $585,000 "," $680,000 "," $540,000 "," $650,000 "," $735,000 "," $744,500 "," $650,000 ",63,5
WEST FOOTSCRAY,West Footscray," $558,500 "," $525,000 "," $532,500 "," $553,000 "," $637,500 "," $697,000 "," $798,000 "," $887,500 "," $875,000 "," $785,000 "," $835,000 ",50,4.1
WEST MELBOURNE,West Melbourne," $816,000 "," $885,000 "," $720,000 "," $905,000 "," $916,000 "," $1,005,000 "," $1,104,500 "," $1,350,000 "," $1,370,000 "," $1,017,500 "," $1,215,000 ",49,4.1
WEST WODONGA,West Wodonga," $283,000 "," $275,000 "," $267,500 "," $272,500 "," $296,000 "," $306,000 "," $308,500 "," $321,000 "," $322,000 "," $342,500 "," $370,000 ",31,2.7
WESTALL,Westall," $510,000 "," $490,000 "," $475,500 "," $513,500 "," $550,000 "," $610,000 "," $696,000 "," $780,000 "," $800,000 "," $741,000 "," $739,000 ",45,3.8
WESTGARTH,Westgarth," $891,500 "," $951,000 "," $840,000 "," $920,000 "," $1,100,000 "," $1,300,000 "," $1,500,000 "," $1,383,000 "," $1,707,500 "," $1,492,500 "," $1,566,000 ",76,5.8
WESTMEADOWS,Westmeadows," $410,000 "," $397,500 "," $377,500 "," $386,500 "," $419,000 "," $470,000 "," $500,000 "," $566,000 "," $620,000 "," $620,000 "," $610,500 ",49,4.1
WHEELERS HILL,Wheelers Hill," $686,500 "," $650,000 "," $669,000 "," $740,000 "," $805,000 "," $999,000 "," $1,050,000 "," $1,160,000 "," $1,118,500 "," $1,010,000 "," $1,172,000 ",71,5.5
WHITE HILLS,White Hills," $253,500 "," $265,000 "," $275,000 "," $280,000 "," $306,000 "," $297,500 "," $305,000 "," $300,000 "," $313,500 "," $330,000 "," $350,000 ",38,3.3
WHITTINGTON,Whittington," $245,000 "," $265,000 "," $252,000 "," $259,000 "," $262,000 "," $280,000 "," $265,000 "," $316,500 "," $395,000 "," $377,500 "," $404,000 ",65,5.1
WHITTLESEA,Whittlesea," $345,000 "," $372,500 "," $365,000 "," $375,000 "," $375,000 "," $400,000 "," $448,500 "," $469,500 "," $577,500 "," $580,000 "," $610,000 ",77,5.9
WILLIAMS LANDING,Williams Landing," $367,500 "," $371,000 "," $450,000 "," $470,000 "," $450,000 "," $510,000 "," $530,000 "," $600,000 "," $685,000 "," $657,000 "," $685,000 ",86,6.4
WILLIAMSTOWN,Williamstown," $884,000 "," $900,000 "," $901,000 "," $920,000 "," $970,000 "," $1,120,000 "," $1,282,500 "," $1,440,000 "," $1,415,000 "," $1,350,000 "," $1,370,000 ",55,4.5
WILLIAMSTOWN NORTH,Williamstown North," $680,000 "," $839,000 "," $680,000 "," $768,000 "," $803,500 "," $862,500 "," $1,135,500 "," $1,024,000 "," $860,000 "," $950,000 "," $897,500 ",32,2.8
WIMBLEDON HEIGHTS,Wimbledon Heights," $299,000 "," $259,000 "," $290,000 "," $271,500 "," $310,000 "," $291,500 "," $299,000 "," $334,000 "," $410,000 "," $386,500 "," $435,000 ",46,3.8
WINCHELSEA,Winchelsea," $235,000 "," $260,000 "," $268,500 "," $287,000 "," $287,500 "," $262,000 "," $267,000 "," $357,000 "," $391,000 "," $430,000 "," $480,000 ",104,7.4
WINDSOR,Windsor," $900,000 "," $824,000 "," $818,000 "," $835,000 "," $956,500 "," $1,094,000 "," $1,505,000 "," $1,420,000 "," $1,422,500 "," $1,350,000 "," $1,350,000 ",50,4.1
WINTER VALLEY,Winter Valley," $325,000 "," $329,000 "," $353,500 "," $344,500 "," $360,000 "," $365,000 "," $362,500 "," $375,000 "," $405,000 "," $435,000 "," $470,000 ",45,3.8
WODONGA,Wodonga," $262,000 "," $279,500 "," $255,500 "," $282,500 "," $295,000 "," $295,000 "," $315,000 "," $341,500 "," $350,000 "," $331,000 "," $348,000 ",33,2.9
WOLLERT,Wollert," $425,000 "," $450,000 "," $410,000 "," $400,000 "," $395,000 "," $432,000 "," $460,000 "," $520,500 "," $550,000 "," $575,000 "," $583,000 ",37,3.2
WONGA PARK,Wonga Park," $620,000 "," $672,500 "," $622,500 "," $674,500 "," $673,500 "," $735,000 "," $801,000 "," $962,500 "," $1,150,000 "," $1,111,000 "," $1,075,000 ",73,5.7
WONTHAGGI,Wonthaggi," $275,000 "," $261,500 "," $229,000 "," $225,000 "," $251,000 "," $262,000 "," $265,000 "," $289,000 "," $339,000 "," $375,000 "," $390,000 ",42,3.6
WOODEND,Woodend," $480,000 "," $475,000 "," $430,000 "," $470,000 "," $460,000 "," $482,500 "," $460,000 "," $560,000 "," $665,000 "," $747,500 "," $752,500 ",57,4.6
WOOLAMAI WATERS,Woolamai Waters," $340,000 "," $350,000 "," $350,000 "," $349,000 "," $381,500 "," $340,000 "," $375,000 "," $418,000 "," $469,500 "," $495,500 "," $565,000 ",66,5.2
WOORI YALLOCK,Woori Yallock," $300,000 "," $312,000 "," $315,000 "," $330,000 "," $317,000 "," $358,000 "," $391,500 "," $480,000 "," $520,000 "," $510,000 "," $552,000 ",84,6.3
WURRUK,Wurruk," $175,500 "," $216,500 "," $235,000 "," $285,000 "," $222,000 "," $230,000 "," $259,500 "," $235,000 "," $310,000 "," $210,000 "," $267,000 ",52,4.3
WY YUNG,Wy Yung," $289,000 "," $288,500 "," $325,000 "," $285,000 "," $285,000 "," $290,000 "," $333,500 "," $328,000 "," $315,000 "," $349,500 "," $369,500 ",28,2.5
WYCHEPROOF,Wycheproof," $86,000 "," $86,000 "," $96,500 "," $95,000 "," $103,000 "," $100,000 "," $82,500 "," $100,000 "," $124,500 "," $141,500 "," $131,000 ",52,4.3
WYNDHAM VALE,Wyndham Vale," $296,000 "," $290,000 "," $286,500 "," $288,000 "," $306,000 "," $325,000 "," $365,000 "," $435,500 "," $480,000 "," $465,000 "," $485,000 ",64,5.1
YACKANDANDAH,Yackandandah," $289,500 "," $290,000 "," $272,500 "," $327,500 "," $318,000 "," $300,000 "," $392,500 "," $446,000 "," $472,500 "," $497,500 "," $440,000 ",52,4.3
YALLAMBIE,Yallambie," $507,000 "," $506,000 "," $471,000 "," $532,500 "," $580,000 "," $665,000 "," $713,500 "," $781,000 "," $810,000 "," $792,500 "," $832,500 ",64,5.1
YALLOURN NORTH,Yallourn North," $145,000 "," $139,000 "," $161,000 "," $135,000 "," $149,500 "," $153,000 "," $165,500 "," $180,000 "," $172,000 "," $191,000 "," $205,500 ",42,3.5
YARRA GLEN,Yarra Glen," $415,000 "," $425,000 "," $395,000 "," $420,000 "," $460,000 "," $530,000 "," $540,000 "," $620,000 "," $670,000 "," $670,000 "," $724,000 ",74,5.7
YARRA JUNCTION,Yarra Junction," $352,500 "," $365,000 "," $397,000 "," $406,500 "," $357,500 "," $417,500 "," $422,500 "," $535,000 "," $562,500 "," $582,500 "," $595,000 ",69,5.4
YARRAGON,Yarragon," $206,000 "," $255,000 "," $266,000 "," $258,000 "," $297,000 "," $284,000 "," $300,000 "," $280,000 "," $390,000 "," $410,000 "," $414,000 ",101,7.2
YARRAM,Yarram," $166,000 "," $195,500 "," $215,000 "," $190,000 "," $202,500 "," $245,000 "," $230,000 "," $225,000 "," $218,000 "," $240,000 "," $260,000 ",57,4.6
YARRAVILLE,Yarraville," $647,000 "," $607,000 "," $613,000 "," $696,000 "," $710,000 "," $810,000 "," $900,500 "," $1,000,000 "," $1,045,000 "," $974,000 "," $1,038,500 ",61,4.8
YARRAWONGA,Yarrawonga," $297,000 "," $270,000 "," $300,000 "," $302,500 "," $297,000 "," $300,500 "," $320,000 "," $324,500 "," $345,000 "," $375,000 "," $451,000 ",52,4.3
YEA,Yea," $240,000 "," $270,000 "," $255,000 "," $260,000 "," $255,000 "," $260,000 "," $305,000 "," $386,500 "," $392,500 "," $441,000 "," $422,500 ",76,5.8
YINNAR,Yinnar," $280,500 "," $208,000 "," $221,500 "," $220,000 "," $240,000 "," $182,500 "," $230,000 "," $270,000 "," $245,000 "," $255,000 "," $292,500 ",4,0.4
